Ticker,Return,Risk,Sharpe
AAPL,0.01881623402732435,0.08201089424393904,0.6147178932798611
ADBE,0.007857747971434572,0.1018622232105651,0.5385704715829311
AMZN,0.015969890190754708,0.0938360258803468,0.5850946640212492
BAC,0.011161017770264587,0.09090521821775016,0.5613882128500588
CRM,0.011883644882627296,0.10737835513700977,0.55533538331568
CSCO,0.010772312680455571,0.07211514391459829,0.5746882838728893
CVX,0.01228251496934492,0.09408084205019503,0.5652763873158779
DIS,0.002538019325004213,0.10470330736122148,0.5121200532675064
GOOGL,0.01697893510670225,0.07943709392220458,0.6068703188168634
HD,0.012067751971369797,0.07315935219883346,0.5824757984363496
INTC,-0.009458632754715384,0.11050246370141553,0.4572017109940951
JNJ,0.004264363304847511,0.05021051872321457,0.542464840169794
JPM,0.016335382612875107,0.07904337246030507,0.6033317664999592
KO,0.007140625399389974,0.05512028239465194,0.5647731206116136
MA,0.012985980517102808,0.07548450085485349,0.5860175292281067
MCD,0.008979056820814646,0.05384297426791937,0.5833818798357554
META,0.026604159590109245,0.11854630264175638,0.6122099930459505
MSFT,0.01857121511888625,0.0650218454295858,0.6428075056635973
NKE,-0.0012307056586126827,0.09112112926962536,0.4932468700263193
NVDA,0.060050090849455194,0.14254439010412676,0.7106364578977448
ORCL,0.023606281685222216,0.08706967734983996,0.6355597172502075
PEP,0.0022610410483545926,0.04722146488260455,0.5239408185872217
PFE,0.0001747507687216022,0.07476119562755268,0.501168726417861
PG,0.007610476868964588,0.05084423982380922,0.5748410920817895
T,0.008268943499495009,0.06699795723450097,0.5617104150694677
TSLA,0.049844504459473984,0.20999877907153894,0.6186780815580213
UNH,0.00599139639658679,0.07767740906700253,0.5385658872286714
V,0.012364976253751523,0.06627127609247174,0.593290615352706
WMT,0.017416079020849358,0.05717537599795893,0.6523040182671564
XOM,0.016391426309845147,0.09391566614998652,0.5872667307905131
